ecoli_protein	b#	RPKM	piechart	archaea	protozoan	bacteria	actinobacteria	bacteroidetes	gammaproteobacteria	deltaproteobacteria	betaproteobacteria	alphaproteobacteria	clostridiales	leuconostocaceae	lactobacillaceae
rplV	b3315	741.77	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	273.3	7.66	367.64	38.09	0	0	0	55.08	0	0
yhfA	b3356	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
ynjB	b1754	2.18	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	2.18	0	0
ydiZ	b1724	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
yhjD	b3522	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
yciA	b1253	5.77	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	5.77	0	0	0	0	0	0
rpmB	b3637	907.96	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	12.49	0	883.79	11.69	0	0	0	0	0	0
iscR	b2531	6.04	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	6.04	0	0	0	0	0	0	0	0	0
yfhM	b2520	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
ytfL	b4218	21.33	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	2.09	17.17	0	0	2.08	0	0	0	0
yaiA	b0389	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
ushA	b0480	11.74	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	11.74	0	0	0	0	0	0	0
panD	b0131	108.48	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	23.17	0	78.35	6.96	0	0	0	0	0	0
panC	b0133	75.5	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	5.02	0	54.61	15.87	0	0	0	0	0	0
panB	b0134	87.39	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	6.8	0	70.68	6.64	0	0	0	3.27	0	0
yfcD	b2299	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
aphA	b4055	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
hemL	b0154	6.43	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	2.13	0	4.3	0	0	0	0	0	0	0
hemB	b0369	8.45	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	2.78	0	2.84	0	0	0	0	2.83	0	0
hemA	b1210	6.45	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	6.45	0	0	0	0	0	0	0	0	0
hemC	b3805	2.91	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	2.91	0	0	0	0	0	0	0	0	0
hemE	b3997	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
hemD	b3804	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
pepD	b0237	118.3	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	118.3	0	0	0	0	0	0	0
pepP	b2908	60.35	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	58.41	0	0	1.94	0	0	0	0
guaC	b0104	33.76	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	33.76	0	0	0	0	0	0	0	0	0
dhaL	b1199	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
dhaK	b1200	2.76	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	2.76	0	0
dhaR	b1201	1.46	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	1.46	0	0	0	0	0	0	0	0	0
phoR	b0400	7.06	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	5.2	0	0	0	0	1.86	0	0
cusS	b0570	2.01	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	2.01	0	0
creC	b4399	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
yedV	b1968	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
cusR	b0571	4.07	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	4.07	0	0	0	0	0	0	0	0	0
creD	b4400	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
tmk	b1098	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
kdpC	b0696	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
kdpB	b0697	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
kdpA	b0698	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
kdpD	b0695	8.03	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	8.03	0	0	0	0	0	0	0
kdpE	b0694	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
mdh	b3236	645.59	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	95.79	2.88	311.61	206.99	0	0	0	28.32	0	0
argR	b3237	28.84	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	28.84	0	0	0	0	0	0	0
tldD	b3244	5.87	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	5.87	0	0	0	0	0	0	0	0	0
pmbA	b4235	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
yedP	b1955	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
yciR	b1285	53.69	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	46.82	0	0	0	0	0	1.48	5.39	0	0
moaC	b0783	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
moaA	b0781	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
moaD	b0784	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
moaE	b0785	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
moaB	b0782	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
moeB	b0826	23.62	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	10.15	0	3.43	0	0	0	0	10.05	0	0
gatD	b2091	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
ypdB	b2381	7.63	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	7.63	0	0	0	0	0	0	0
galU	b1236	27.11	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	6.51	0	5.66	11.79	0	0	0	3.15	0	0
galF	b2042	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
yfaY	b2249	0	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	0	0	0	0	0	0	0
yfbR	b2291	9.35	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	0	9.35	0	0	0	0	0	0
menC	b2261	2.6	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	2.6	0	0	0	0	0	0	0
menB	b2262	16.04	piechart: attributelist="archaea,protozoan,bacteria,actinobacteria,bacteroidetes,gammaproteobacteria,deltaproteobacteria,betaproteobacteria,alphaproteobacteria,clostridiales,leuconostocaceae,lactobacillaceae" colorlist="#FFA500,#C0C0C0,#EDF252,#0000FF,#FF00FF,#2C94DE,#ED4734,#00FFFF,#FFCCFF,#34C400,#A52A2A,#663366" showlabels=false	0	0	0	0	6.44	9.59	0	0	0	0	0	0
